"","node_id","number_in_pattern"
"1",72996,22
"2",73000,26
"3",73430,17
"4",73446,21
"5",73461,27
"6",75500,13
"7",76388,14
"8",76415,24
"9",76425,8
"10",76496,10
"11",76788,23
"12",76792,12
"13",76794,2
"14",76811,7
"15",76825,3
"16",76830,22
"17",76832,24
"18",76844,1
"19",76846,21
"20",76859,4
"21",76862,18
"22",76878,30
"23",76887,3
"24",76927,28
"25",76929,11
"26",80026,18
"27",80028,16
"28",82169,5
"29",82176,7
"30",82280,4
"31",82506,12
"32",82529,14
"33",82595,13
"34",82640,29
"35",82832,20
"36",82880,11
"37",82914,23
"38",82939,9
"39",82948,17
"40",82958,7
"41",82959,13
"42",83028,3
"43",83038,15
"44",83049,4
"45",83081,15
"46",83232,19
"47",83404,2
"48",83532,27
"49",83573,29
"50",83601,6
"51",83632,10
"52",83671,18
"53",83679,4
"54",83683,28
"55",83787,28
"56",83807,23
"57",83816,11
"58",83821,23
"59",83826,19
"60",83830,20
"61",83845,4
"62",83859,26
"63",83874,14
"64",83879,22
"65",83885,3
"66",83901,2
"67",83921,6
"68",83923,26
"69",83932,21
"70",83996,16
"71",84000,21
"72",84026,28
"73",84036,25
"74",84072,1
"75",84143,27
"76",84170,12
"77",84179,24
"78",84186,16
"79",84189,18
"80",84208,30
"81",84223,7
"82",84266,7
"83",84315,5
"84",84331,10
"85",84338,21
"86",84437,19
"87",84476,15
"88",84490,24
"89",84541,16
"90",84553,22
"91",84560,14
"92",84576,10
"93",84577,6
"94",84607,2
"95",84608,2
"96",84633,11
"97",84634,3
"98",84636,13
"99",84642,23
"100",84643,20
"101",84655,9
"102",84680,12
"103",84701,11
"104",84705,30
"105",84712,6
"106",84721,5
"107",84748,26
"108",84757,5
"109",84758,20
"110",84777,1
"111",84798,24
"112",84805,19
"113",84808,23
"114",84844,17
"115",84852,16
"116",84886,1
"117",84895,25
"118",84896,15
"119",84904,9
"120",84905,8
"121",85923,29
"122",85956,25
"123",86022,14
"124",86050,9
"125",86148,8
"126",86178,25
"127",86192,6
"128",86301,28
"129",86351,17
"130",87534,10
"131",87566,24
"132",87568,8
"133",87582,29
"134",87585,19
"135",87586,11
"136",87592,5
"137",87723,8
"138",87725,1
"139",87751,29
"140",87773,27
"141",87805,28
"142",87816,28
"143",87960,22
"144",88110,19
"145",88180,22
"146",88184,4
"147",88236,18
"148",88266,12
"149",88267,30
"150",88318,3
"151",88354,17
"152",88370,7
"153",88373,4
"154",88396,10
"155",88404,14
"156",88410,17
"157",88424,8
"158",88436,25
"159",88473,7
"160",88510,27
"161",88668,16
"162",88669,13
"163",88670,20
"164",88696,27
"165",88720,26
"166",88741,21
"167",88761,3
"168",88763,2
"169",88769,25
"170",88780,23
"171",88798,15
"172",88799,1
"173",90143,9
"174",90157,26
"175",90206,13
"176",90207,15
"177",90214,29
"178",90218,30
"179",90219,6
"180",90220,9
"181",90221,30
"182",90224,27
"183",91209,18
"184",91543,18
"185",91545,5
"186",91584,20
"187",91627,16
"188",91655,22
"189",91659,5
"190",91727,10
"191",91763,12
"192",91867,6
"193",91869,2
"194",91940,15
"195",91943,26
"196",91950,17
"197",91951,30
"198",91972,14
"199",92067,29
"200",92078,1
"201",92111,11
"202",92120,24
"203",94265,8
"204",94735,13
"205",94863,21
"206",94868,12
"207",94901,25
"208",94903,19
"209",94904,20
"210",106697,9
"211",110816,29
"212",110817,14
"213",110820,8
"214",110821,25
"215",110830,13
"216",110844,15
