Node,N1,N2,N3,N4
1,9,12,20,30
2,11,12,32,38
3,8,12,35,36
4,5,9,19,26
5,4,6,17,22
6,5,12,16,35
7,17,19,21,39
8,3,9,10,34
9,1,4,8,31
10,8,16,18,23
11,2,24,25,27
12,1,2,3,6
13,18,28,34,35
14,28,37,38,40
15,24,33,37,39
16,6,10,25,27
17,5,7,20,34
18,10,13,22,27
19,4,7,27,29
20,1,17,21,26
21,7,20,23,28
22,5,18,24,31
23,10,21,31,39
24,11,15,22,40
25,11,16,32,34
26,4,20,33,36
27,11,16,18,19
28,13,14,21,40
29,19,32,33,38
30,1,36,37,39
31,9,22,23,38
32,2,25,29,40
33,15,26,29,37
34,8,13,17,25
35,3,6,13,36
36,3,26,30,35
37,14,15,30,33
38,2,14,29,31
39,7,15,23,30
40,14,24,28,32
