shout_id,confederate,instance_id,node_id,user_id,composition,structure,condition,pattern_name,publish_at,content,liwc.anger
4547,no,374,48105,7007,aa,c,aa.c,Star - core 1 - 40 nodes,9/27/21 15:09,hello,0
4548,no,374,48946,13693,aa,c,aa.c,Star - core 1 - 40 nodes,9/27/21 15:09,Hello,0
4549,no,374,48341,7670,aa,c,aa.c,Star - core 1 - 40 nodes,9/27/21 15:09,Hello,0
4551,no,374,48718,27904,aa,c,aa.c,Star - core 1 - 40 nodes,9/27/21 15:09,Hey.,0
4552,no,374,48952,26558,aa,c,aa.c,Star - core 1 - 40 nodes,9/27/21 15:09,hii!,0
4553,no,374,48923,26581,aa,c,aa.c,Star - core 1 - 40 nodes,9/27/21 15:09,hey,0
4554,no,374,48341,7670,aa,c,aa.c,Star - core 1 - 40 nodes,9/27/21 15:09,Have a great Monday!,0
4555,no,374,48928,26682,aa,c,aa.c,Star - core 1 - 40 nodes,9/27/21 15:09,hello,0
4556,no,374,48946,13693,aa,c,aa.c,Star - core 1 - 40 nodes,9/27/21 15:09,You too,0
4557,no,374,48952,26558,aa,c,aa.c,Star - core 1 - 40 nodes,9/27/21 15:10,follow me on instagram @simplyjaylaa,0
4558,no,374,48987,4201,aa,c,aa.c,Star - core 1 - 40 nodes,9/27/21 15:10,Hi guys,0
4559,no,374,49117,28617,aa,c,aa.c,Star - core 1 - 40 nodes,9/27/21 15:10,Hi!,0
4560,no,374,48929,26720,aa,c,aa.c,Star - core 1 - 40 nodes,9/27/21 15:10,Hi,0
4561,no,374,48341,7670,aa,c,aa.c,Star - core 1 - 40 nodes,9/27/21 15:10,My first time.,0
4563,no,374,49117,28617,aa,c,aa.c,Star - core 1 - 40 nodes,9/27/21 15:10,Same,0
4564,no,374,48929,26720,aa,c,aa.c,Star - core 1 - 40 nodes,9/27/21 15:10,How is everyone?,0
4565,no,374,48946,13693,aa,c,aa.c,Star - core 1 - 40 nodes,9/27/21 15:10,Same,0
4566,no,374,48928,26682,aa,c,aa.c,Star - core 1 - 40 nodes,9/27/21 15:10,same,0
4567,no,374,48987,4201,aa,c,aa.c,Star - core 1 - 40 nodes,9/27/21 15:11,Ya the question was tricky,20
4569,no,374,48929,26720,aa,c,aa.c,Star - core 1 - 40 nodes,9/27/21 15:11,It was very hard,0
4570,no,374,49117,28617,aa,c,aa.c,Star - core 1 - 40 nodes,9/27/21 15:11,Probably,0
4571,no,374,48715,27158,aa,c,aa.c,Star - core 1 - 40 nodes,9/27/21 15:11,What y'all say,0
